VenueID,Name
2815,Excite Ballpark
2816,Municipal Stadium
2817,Nat Bailey Stadium
2818,Nelson Wolff Stadium
2819,New Britain Stadium
2820,NYSEG Stadium
2821,Dozer Park
2822,Cooley Law School Stadium
2823,NBT Bank Stadium
2824,Papago Sports Complex
2825,Home of the OWLZ
2826,Gesa Stadium
2827,Northwestern Medicine Field
2828,Pioneer Park
2829,Pirate City Complex
2830,Ogren Park Allegiance Field
2831,Pohlman Field
2832,Prince George's Stadium
2833,The Ballpark at Jackson
2835,Recreation Park
2836,Richmond County Bank Ballpark
2837,Leidos Field at Ripken Stadium
2839,Russell E. Diethrick Jr. Park
2840,Haley Toyota Field
2841,Sam Lynn Ballpark
2842,ARM & HAMMER Park
2843,Chickasaw Bricktown Ballpark
2844,Principal Park
2845,Dodd Stadium
2846,UCHealth Park
2848,Smokies Stadium
2849,St. Lucie Sports Complex
2850,Four Winds Field
2851,State Mutual Stadium
2852,Baseball Grounds of Jacksonville
2853,The Diamond
2854,LoanMart Field
2855,Tigertown
2856,First Data Field
2857,Perfect Game Field
2858,Victory Field
2859,Volcanoes Stadium
2861,Whataburger Field
2862,CenturyLink Sports Complex
2864,Yankee Complex
2865,Shrine on Airline
2868,Northeast Delta Dental Stadium
441,Default Central European (G)
3189,Dow Diamond
3289,Citi Field
4271,Werner Park
4309,JetBlue Park
3652,Armin-Wolf Baseball Arena
3769,Parque Deportivo Colon
3809,Camelback Ranch
3810,Coolray Field
4089,BB&T Ballpark
4209,Perth Harley-Davidson Ballpark
4210,Blacktown International Sportspark
4211,Melbourne Ballpark
4212,MIT Narrabundah Ballpark
4213,Norwood Oval
4214,RNA Showgrounds
4249,Salt River Fields at Talking Stick
4369,Estadio Resurgimiento
4549,Thomas Stadium
2949,Parque Nelson Barrera Romellon
2950,Estadio Monclova
2951,Parque Lic. Eduardo Vasconcelos
2953,Parque Francisco I. Madero
2955,Parque Centenario 27 de Febrero
2956,Estadio de la Revolucion
2957,Estadio Chevron
2958,Estadio Universitario Beto Avila
2959,Parque Kukulkan
3029,Estadio Universitario
3030,Estadio Alfonso Carrasquel
3031,Estadio Luis Aparicio
3032,Estadio Antonio Herrera Gutierrez
3069,Francisco Carranza Limon
3070,Hector Espino
3071,General Angel Flores
3072,Tomas Oroz Gaytan
3073,Teodoro Mariscal
3074,Emilio Ibarra Almada
3075,Manuel Ciclon Echeverria
3076,Estadio B-Air
4429,Ron Tonkin Field
4449,Estadio Mariano 'Mini' Meaux
4450,Estadio Municipal Pedro Roman Melendez
2912,Medlar Field at Lubrano Park
5250,Allstate Arena
5251,Blue Cross Arena
5252,BMO Harris Bank Center
5253,Bojangles' Coliseum
5254,Citizens Business Bank Arena
5255,Giant Center
5256,H-E-B Center at Cedar Park
5257,MassMutual Center
5258,Mohegan Sun Arena at Casey Plaza
5259,Ricoh Coliseum
5260,Stockton Arena
5261,Times Union Center
5262,Tucson Convention Center
5263,Utica Memorial Auditorium
5264,UW-Milwaukee Panther Arena
5265,Valley View Casino Center
5266,Van Andel Arena
5267,Veterans Memorial Arena
5268,Wells Fargo Arena
3558,USA Baseball National Training Complex
3089,Kyocera Dome
3090,Fukuoka Yafuoku! Dome
3209,Estadio 18 de Marzo de 1938
4149,ONEOK Field
4349,XinZhuang Stadium
3329,Arvest Ballpark
3349,Stadium Nueva Esparta
4329,Blue Wahoos Stadium
4710,Estadio Charros de Jalisco
4970,Estadio de Beisbol 'Fray Nano'
4529,Regions Field
5240,Estadio Luis A. Canena Marquez
5015,Air Canada Centre
5017,Amalie Arena
5019,American Airlines Center
5026,Barclays Center
5027,BB&T Center
5028,Bell Centre
5030,Bridgestone Arena
5031,Canadian Tire Centre
5034,PPG Paints Arena
5039,KeyBank Center
5043,Gila River Arena
5046,Honda Center
5047,Joe Louis Arena
5054,Madison Square Garden
5058,Bell MTS Place
