GameID,Season,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
529459,2018,4/2/2018 13:10,Final,112,0,2,3,0.4,113,1,1,3,0.4,2602,day,1,1,Regular Season
529460,2018,4/2/2018 16:07,Final,145,2,2,1,0.667,141,4,3,2,0.667,14,night,3,1,Regular Season
529457,2018,4/2/2018 16:10,Final,110,1,1,3,0.25,117,6,4,1,0.25,2392,night,3,1,Regular Season
529458,2018,4/2/2018 16:10,Final,111,7,4,1,0.8,146,3,2,3,0.8,4169,night,2,1,Regular Season
529470,2018,4/2/2018 16:35,Final,120,8,4,0,1,144,1,2,2,1,4705,night,3,1,Regular Season
529464,2018,4/2/2018 18:40,Final,119,7,2,3,0.4,109,8,3,1,0.4,15,night,3,1,Regular Season
529469,2018,4/2/2018 19:05,Final,140,1,1,4,0.2,133,3,2,3,0.2,10,night,4,1,Regular Season
529461,2018,4/2/2018 19:07,Final,114,6,2,2,0.5,108,0,3,2,0.5,1,night,3,1,Regular Season
529462,2018,4/2/2018 19:10,Final,115,7,2,2,0.5,135,4,0,4,0.5,2680,night,4,1,Regular Season
529477,2018,4/3/2018 10:10,Final,118,1,1,3,0.25,116,0,1,4,0.25,2394,day,2,2,Regular Season
529468,2018,4/3/2018 13:05,Final,139,4,1,4,0.2,147,11,3,2,0.2,3313,day,2,1,Regular Season
529480,2018,4/3/2018 13:35,Final,136,6,3,1,0.75,137,4,2,3,0.75,2395,day,2,1,Regular Season
529472,2018,4/3/2018 15:10,Final,111,4,5,1,0.833,146,2,2,4,0.833,4169,night,2,2,Regular Season
529474,2018,4/3/2018 16:07,Final,145,5,2,2,0.5,141,14,4,2,0.5,14,night,3,2,Regular Season
529479,2018,4/3/2018 16:10,Final,143,0,1,3,0.25,121,2,3,1,0.25,3289,night,2,1,Regular Season
529483,2018,4/3/2018 16:35,Final,120,6,4,1,0.8,144,13,3,2,0.8,4705,night,3,2,Regular Season
529481,2018,4/3/2018 16:40,Final,138,4,2,3,0.4,158,5,4,1,0.4,32,night,3,2,Regular Season
529471,2018,4/3/2018 17:10,Final,110,6,1,4,0.2,117,10,5,1,0.2,2392,night,3,2,Regular Season
529478,2018,4/3/2018 18:40,Final,119,1,2,4,0.333,109,6,4,1,0.333,15,night,3,2,Regular Season
529482,2018,4/3/2018 19:05,Final,140,4,2,4,0.333,133,1,2,4,0.333,10,night,4,2,Regular Season
529475,2018,4/3/2018 19:07,Final,114,2,2,3,0.4,108,13,4,2,0.4,1,night,3,2,Regular Season
529476,2018,4/3/2018 19:10,Final,115,4,2,3,0.4,135,8,1,4,0.4,2680,night,4,2,Regular Season
529496,2018,4/4/2018 9:10,Final,120,1,4,2,0.667,144,7,4,2,0.667,4705,day,3,3,Regular Season
529494,2018,4/4/2018 10:05,Final,139,2,1,5,0.167,147,7,4,2,0.167,3313,day,2,2,Regular Season
529491,2018,4/4/2018 10:10,Final,143,2,1,4,0.2,121,4,4,1,0.2,3289,day,2,2,Regular Season
529484,2018,4/4/2018 11:10,Final,110,2,1,5,0.167,117,3,6,1,0.167,2392,day,3,3,Regular Season
529489,2018,4/4/2018 12:40,Final,119,0,2,5,0.286,109,3,5,1,0.286,15,day,3,3,Regular Season
529486,2018,4/4/2018 13:07,Final,114,2,2,4,0.333,108,3,5,2,0.333,1,day,3,3,Regular Season
529490,2018,4/4/2018 15:05,Final,142,7,3,2,0.6,134,3,4,1,0.6,31,night,2,2,Regular Season
529485,2018,4/4/2018 16:07,Final,145,4,3,2,0.6,141,3,4,3,0.6,14,night,3,3,Regular Season
529492,2018,4/4/2018 16:15,Final,136,1,3,2,0.6,137,10,3,3,0.6,2395,day,2,2,Regular Season
529493,2018,4/4/2018 16:40,Final,138,6,3,3,0.5,158,0,4,2,0.5,32,night,3,3,Regular Season
529495,2018,4/4/2018 19:05,Final,140,2,2,5,0.286,133,6,3,4,0.286,10,night,4,3,Regular Season
529487,2018,4/4/2018 19:10,Final,115,5,3,3,0.5,135,2,1,5,0.5,2680,night,4,3,Regular Season
529504,2018,4/5/2018 10:05,Final,121,8,5,1,0.833,120,2,4,3,0.833,3309,day,3,1,Regular Season
