GameID,GameDate,AwayTeamID,HomeTeamID,VenueID
564932,2019-04-07T17:05:00Z,147,110,2
567064,2019-04-07T17:05:00Z,142,143,2681
565512,2019-04-07T17:10:00Z,118,116,2394
565321,2019-04-07T17:10:00Z,141,114,5
565992,2019-04-07T17:10:00Z,120,121,3289
567162,2019-04-07T17:20:00Z,146,144,4705
566185,2019-04-07T17:35:00Z,113,134,31
567265,2019-04-07T18:10:00Z,136,145,4
567558,2019-04-07T18:10:00Z,112,158,32
565608,2019-04-07T18:10:00Z,133,117,2392
566569,2019-04-07T18:15:00Z,135,138,2889
566473,2019-04-07T20:05:00Z,139,137,2395
564737,2019-04-07T20:07:00Z,140,108,1
564835,2019-04-07T20:10:00Z,111,109,15
565415,2019-04-08T00:37:00Z,119,115,19
567266,2019-04-08T18:10:00Z,139,145,4
565124,2019-04-08T18:20:00Z,134,112,17
564933,2019-04-08T23:05:00Z,133,110,2
567065,2019-04-08T23:05:00Z,120,143,2681
565609,2019-04-08T23:10:00Z,147,117,2392
566570,2019-04-08T23:45:00Z,119,138,2889
565707,2019-04-09T00:15:00Z,136,118,7
565416,2019-04-09T00:40:00Z,144,115,19
566474,2019-04-09T01:45:00Z,135,137,2395
564738,2019-04-09T02:07:00Z,158,108,1
565513,2019-04-09T17:10:00Z,114,116,2394
565027,2019-04-09T18:05:00Z,141,111,3
567267,2019-04-09T18:10:00Z,139,145,4
565226,2019-04-09T22:40:00Z,146,113,2602
564934,2019-04-09T23:05:00Z,133,110,2
567066,2019-04-09T23:05:00Z,120,143,2681
565993,2019-04-09T23:10:00Z,142,121,3289
566571,2019-04-09T23:45:00Z,119,138,2889
565610,2019-04-10T00:10:00Z,147,117,2392
565708,2019-04-10T00:15:00Z,136,118,7
565417,2019-04-10T00:40:00Z,144,115,19
564836,2019-04-10T01:40:00Z,140,109,15
566475,2019-04-10T01:45:00Z,135,137,2395
564739,2019-04-10T02:07:00Z,158,108,1
565514,2019-04-10T17:10:00Z,114,116,2394
567268,2019-04-10T18:10:00Z,139,145,4
565418,2019-04-10T19:10:00Z,144,115,19
566476,2019-04-10T19:45:00Z,135,137,2395
565227,2019-04-10T22:40:00Z,146,113,2602
564935,2019-04-10T23:05:00Z,133,110,2
567067,2019-04-10T23:05:00Z,120,143,2681
565994,2019-04-10T23:10:00Z,142,121,3289
565611,2019-04-10T23:40:00Z,147,117,2392
566572,2019-04-10T23:45:00Z,119,138,2889
565125,2019-04-11T00:05:00Z,134,112,17
565709,2019-04-11T00:15:00Z,136,118,7
564837,2019-04-11T01:40:00Z,140,109,15
564740,2019-04-11T02:07:00Z,158,108,1
565228,2019-04-11T16:35:00Z,146,113,2602
564936,2019-04-11T16:35:00Z,133,110,2
565515,2019-04-11T17:10:00Z,114,116,2394
565710,2019-04-11T17:15:00Z,136,118,7
566573,2019-04-11T17:15:00Z,119,138,2889
565028,2019-04-11T23:10:00Z,141,111,3
567163,2019-04-11T23:20:00Z,121,144,4705
565126,2019-04-11T23:35:00Z,134,112,17
564838,2019-04-12T01:40:00Z,135,109,15
566477,2019-04-12T01:45:00Z,115,137,2395
565127,2019-04-12T18:20:00Z,108,112,17
565900,2019-04-12T23:05:00Z,134,120,3309
567462,2019-04-12T23:05:00Z,145,147,3313
566871,2019-04-12T23:07:00Z,139,141,14
565029,2019-04-12T23:10:00Z,110,111,3
567366,2019-04-12T23:10:00Z,143,146,4169
567164,2019-04-12T23:20:00Z,121,144,4705
566769,2019-04-13T00:05:00Z,133,140,13
566965,2019-04-13T00:10:00Z,116,142,3312
565711,2019-04-13T00:15:00Z,114,118,7
564839,2019-04-13T01:40:00Z,135,109,15
566378,2019-04-13T02:10:00Z,117,136,680
565806,2019-04-13T02:10:00Z,158,119,22
566478,2019-04-13T02:15:00Z,115,137,2395
565030,2019-04-13T17:05:00Z,110,111,3
567463,2019-04-13T17:05:00Z,145,147,3313
566966,2019-04-13T18:10:00Z,116,142,3312
565128,2019-04-13T18:20:00Z,108,112,17
566872,2019-04-13T19:07:00Z,139,141,14
565901,2019-04-13T20:05:00Z,134,120,3309
566479,2019-04-13T20:05:00Z,115,137,2395
567367,2019-04-13T22:10:00Z,143,146,4169
565229,2019-04-13T23:10:00Z,138,113,2701
565712,2019-04-13T23:15:00Z,114,118,7
567165,2019-04-13T23:20:00Z,121,144,4705
566770,2019-04-14T00:05:00Z,133,140,13
564840,2019-04-14T00:10:00Z,135,109,15
566379,2019-04-14T01:10:00Z,117,136,680
565807,2019-04-14T01:10:00Z,158,119,22
565031,2019-04-14T17:05:00Z,110,111,3
567464,2019-04-14T17:05:00Z,145,147,3313
566873,2019-04-14T17:07:00Z,139,141,14
567368,2019-04-14T17:10:00Z,143,146,4169
565902,2019-04-14T17:35:00Z,134,120,3309
566967,2019-04-14T18:10:00Z,116,142,3312
565713,2019-04-14T18:15:00Z,114,118,7
565129,2019-04-14T18:20:00Z,108,112,17
566771,2019-04-14T19:05:00Z,133,140,13
566480,2019-04-14T20:05:00Z,115,137,2395
564841,2019-04-14T20:10:00Z,135,109,15
566380,2019-04-14T20:10:00Z,117,136,680
565230,2019-04-14T20:10:00Z,138,113,2701
565808,2019-04-14T20:10:00Z,158,119,22
567166,2019-04-14T23:05:00Z,121,144,4705
565032,2019-04-15T15:05:00Z,110,111,3
567068,2019-04-15T23:05:00Z,121,143,2681
567369,2019-04-15T23:10:00Z,112,146,4169
566968,2019-04-15T23:40:00Z,141,142,3312
567559,2019-04-15T23:40:00Z,138,158,32
566772,2019-04-16T00:05:00Z,108,140,13
567269,2019-04-16T00:10:00Z,118,145,4
566381,2019-04-16T02:10:00Z,114,136,680
565809,2019-04-16T02:10:00Z,113,119,22
566282,2019-04-16T02:10:00Z,115,135,2680
567465,2019-04-16T22:35:00Z,111,147,3313
565516,2019-04-16T22:40:00Z,134,116,2394
565903,2019-04-16T23:05:00Z,137,120,3309
567069,2019-04-16T23:05:00Z,121,143,2681
567370,2019-04-16T23:10:00Z,112,146,4169
566671,2019-04-16T23:10:00Z,110,139,12
567167,2019-04-16T23:20:00Z,109,144,4705
566969,2019-04-16T23:40:00Z,141,142,3312
567560,2019-04-16T23:40:00Z,138,158,32
566773,2019-04-17T00:05:00Z,108,140,13
567270,2019-04-17T00:10:00Z,118,145,4
566283,2019-04-17T01:10:00Z,115,135,2680
566094,2019-04-17T02:07:00Z,117,133,10
566382,2019-04-17T02:10:00Z,114,136,680
565810,2019-04-17T02:10:00Z,113,119,22
567070,2019-04-17T17:05:00Z,121,143,2681
567561,2019-04-17T17:40:00Z,138,158,32
567271,2019-04-17T18:10:00Z,118,145,4
565811,2019-04-17T19:10:00Z,113,119,22
567466,2019-04-17T22:35:00Z,111,147,3313
566383,2019-04-17T22:40:00Z,114,136,680
565517,2019-04-17T22:40:00Z,134,116,2394
565904,2019-04-17T23:05:00Z,137,120,3309
567371,2019-04-17T23:10:00Z,112,146,4169
566672,2019-04-17T23:10:00Z,110,139,12
567168,2019-04-17T23:20:00Z,109,144,4705
566970,2019-04-17T23:40:00Z,141,142,3312
566774,2019-04-18T00:05:00Z,108,140,13
566095,2019-04-18T02:07:00Z,117,133,10
567169,2019-04-18T16:10:00Z,109,144,4705
565905,2019-04-18T17:05:00Z,137,120,3309
565518,2019-04-18T17:10:00Z,145,116,2394
566971,2019-04-18T17:10:00Z,141,142,3312
567467,2019-04-18T22:35:00Z,118,147,3313
566673,2019-04-18T23:10:00Z,110,139,12
567562,2019-04-19T00:10:00Z,119,158,32
565419,2019-04-19T00:40:00Z,143,115,19
564741,2019-04-19T02:07:00Z,136,108,1
566284,2019-04-19T02:10:00Z,113,135,2680
565130,2019-04-19T18:20:00Z,109,112,17
566186,2019-04-19T23:05:00Z,137,134,31
567468,2019-04-19T23:05:00Z,118,147,3313
564937,2019-04-19T23:05:00Z,142,110,2
567372,2019-04-19T23:10:00Z,120,146,4169
566674,2019-04-19T23:10:00Z,111,139,12
565519,2019-04-19T23:10:00Z,145,116,2394
565322,2019-04-19T23:10:00Z,144,114,5
566775,2019-04-20T00:05:00Z,117,140,13
567563,2019-04-20T00:10:00Z,119,158,32
566574,2019-04-20T00:15:00Z,121,138,2889
565420,2019-04-20T00:40:00Z,143,115,19
564742,2019-04-20T02:07:00Z,136,108,1
566096,2019-04-20T02:07:00Z,141,133,10
566285,2019-04-20T02:10:00Z,113,135,2680
564938,2019-04-20T20:05:00Z,142,110,2
564937,2019-04-20T03:33:00Z,142,110,2
565323,2019-04-20T20:10:00Z,144,114,5
565322,2019-04-20T03:33:00Z,144,114,5
565520,2019-04-20T17:10:00Z,145,116,2394
567469,2019-04-20T17:05:00Z,118,147,3313
566575,2019-04-20T18:15:00Z,121,138,2889
565131,2019-04-20T18:20:00Z,109,112,17
566187,2019-04-20T20:05:00Z,137,134,31
566097,2019-04-20T20:07:00Z,141,133,10
567373,2019-04-20T22:10:00Z,120,146,4169
566675,2019-04-20T22:10:00Z,111,139,12
567564,2019-04-20T23:10:00Z,119,158,32
566776,2019-04-21T00:05:00Z,117,140,13
565421,2019-04-21T00:10:00Z,143,115,19
566286,2019-04-21T00:40:00Z,113,135,2680
564743,2019-04-21T01:07:00Z,136,108,1
567470,2019-04-21T17:05:00Z,118,147,3313
564939,2019-04-21T17:05:00Z,142,110,2
567374,2019-04-21T17:10:00Z,120,146,4169
565521,2019-04-21T17:10:00Z,145,116,2394
566188,2019-04-21T17:35:00Z,137,134,31
566676,2019-04-21T18:10:00Z,111,139,12
567565,2019-04-21T18:10:00Z,119,158,32
566576,2019-04-21T18:15:00Z,121,138,2889
565132,2019-04-21T18:20:00Z,109,112,17
566777,2019-04-21T19:05:00Z,117,140,13
565422,2019-04-21T19:10:00Z,143,115,19
564744,2019-04-21T20:07:00Z,136,108,1
566098,2019-04-21T20:07:00Z,141,133,10
566287,2019-04-21T20:10:00Z,113,135,2680
565324,2019-04-21T23:05:00Z,144,114,5
566189,2019-04-22T23:05:00Z,109,134,31
564940,2019-04-22T23:05:00Z,145,110,2
565033,2019-04-22T23:10:00Z,116,111,3
566677,2019-04-22T23:10:00Z,118,139,12
565995,2019-04-22T23:10:00Z,143,121,3289
566577,2019-04-22T23:45:00Z,158,138,2889
